canonical,name,uei,recipient_id,code,amount_fy,ticker
COUNTERTRADE PRODUCTS,"COUNTERTRADE PRODUCTS, INC.",CN4KSKX2UQY5,99253b24-712b-034b-e1a4-77c8e86b4b5b-C,144293636,261879344.69,
DRS NETWORK IMAGING,DRS NETWORK & IMAGING SYSTEMS LLC,MC27B7LGBL34,d2126cd6-57c0-413f-1983-5b4216598036-C,884634718,259561664.44,
FLEET VEHICLE SOURCE,FLEET VEHICLE SOURCE INC,CGAKREGGN9J3,70cfcc5e-6463-439c-995c-5d2e7305f4ac-C,038135986,253225175.06,
COGNOSANTE MVH,COGNOSANTE MVH LLC,XDDKMXTVJSN8,8040802b-969d-bb42-f639-49fa32dcf7ea-C,169939688,252449843.51,
GENERAL DYNAMICS-OTS,"GENERAL DYNAMICS-OTS, INC.",Q9SBTF8ELUP4,3a02f6ab-9df3-cbfd-b60f-1542efce4906-C,003567125,250511282.62,
METGREEN,METGREEN SOLUTIONS INC,J4TDZHLCUGW3,2f9b400e-dc80-c49f-f49b-d0f639359e45-C,079535234,247715031.20,
TELEDYNE,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,78ec491d-7c2b-71fe-33cf-48692f533970-C,113633189,235332659.67,TDY
DLT,"DLT SOLUTIONS, LLC",F1N2KDGBDTU8,abde3f7b-54a5-dbb5-7db4-5c1474b8cdff-C,786468199,231401710.49,
SIEMENS MEDICAL,"SIEMENS MEDICAL SOLUTIONS USA, INC.",KFMJVLKNLZ75,fd8478b1-626d-1d4a-edc9-c5fd5914996f-C,103231817,224895260.41,
GULFSTREAM AEROSPACE,GULFSTREAM AEROSPACE CORPORATION,NGABP44KQF33,416e01b8-a579-75ca-d731-d28aca2e2d59-C,088935366,221795839.42,
BLUE TECH,BLUE TECH INC.,MDC5LDZKQAM4,1d2b86ed-22ef-ab63-ef2c-787925497c54-C,121701957,221739870.23,
TISTA SCIENCE AND TECHNOLOGY,TISTA SCIENCE AND TECHNOLOGY CORPORATION,L73LKJ1JCVM7,505c4513-ce60-a739-a179-fd5a47a2297e-C,611509055,220869116.13,
GOVSMART,"GOVSMART, INC.",DJACUETFQUL8,a4ce814d-f601-2150-98bf-6f203db0ea2f-C,961600272,220482693.94,
LINQUEST,LINQUEST CORPORATION,HQBRRJBLDQ37,94657412-ad9f-323d-a845-cf0021e8dfb7-C,140389763,220393881.95,
GOVERNMENT ACQUISITIONS,GOVERNMENT ACQUISITIONS INC,R98MW4ZKUUK3,bcd07db9-001a-b962-dbab-d463bb99028f-C,603814054,218656347.37,
INTREPID,INTREPID LLC,HNK6ED5J3BN9,cc42d153-b742-6bde-a3b1-db4376a3307f-C,136578262,217590930.54,
TECOLOTE RESEARCH,"TECOLOTE RESEARCH, INC.",EETHKKLA2VB4,d8f9524f-faae-66f1-0094-c37a117d7b3b-C,074108176,216436815.52,
JEFFERSON SCIENCE ASSOCIATES,"JEFFERSON SCIENCE ASSOCIATES, LLC",MTWLVRJR54N7,922e681a-31fd-7c94-54df-717d940a89c9-C,557181422,213801442.91,
APPLIED RESEARCH,"APPLIED RESEARCH SOLUTIONS, INC.",KHUUB19KDMA3,674dc223-0116-908c-4bad-17e86f80414e-C,807990382,208174602.07,
MODERN TECHNOLOGY,"MODERN TECHNOLOGY SOLUTIONS, INC.",R8KMUKAJRKJ6,b4ef6003-1f01-d9c4-b29f-b4e2015f014e-C,807454640,204930949.21,
THALES DEFENSE SECURITY,THALES DEFENSE & SECURITY INC,HNNUJXHSXGU3,9074aacb-5498-a169-52a1-84bfc51ab116-C,003253788,204648110.93,
SOUTHWEST RESEARCH INSTITUTE,SOUTHWEST RESEARCH INSTITUTE,PB11V1KH3KV4,445af2f9-543d-9e63-c6fd-0feebf238d59-C,007936842,204601742.88,
VIASAT,VIASAT INC,L9Z1ASN3B8E7,3e01e0d6-80fd-1df8-fd7c-08efc2828a82-C,175096619,204393590.15,
RADIANCE,RADIANCE TECHNOLOGIES INC,YXRLX5PDCWK4,daaa0b56-dd2e-9bbf-1efa-a8b8240c3162-C,031994218,203014654.70,
CHARLES STARK DRAPER LABORATORY,"THE CHARLES STARK DRAPER LABORATORY, INC.",GTJHZE4M7YK1,875a4072-7b37-6250-a5ab-8428c8e47565-C,066587478,202634404.07,
JOHNSON CONTROLS,"JOHNSON CONTROLS BUILDING AUTOMATION SYSTEMS, LLC",LFD2YFMZJ1J3,0d1a2358-e8ec-6142-7139-ea3ae4401a11-C,827861662,202060259.02,JCI
EMPOWER AI,"EMPOWER AI, INC.",HC6QJAM2F4E3,4ba55072-0228-c003-d8a4-067938e3a80a-C,620864504,201203829.07,
DOMESTIC AWARDEES (UNDISCLOSED),DOMESTIC AWARDEES (UNDISCLOSED),KA5HQCLKUVW1,b34cb2e3-60c2-69e0-9288-a94226437041-C,790238638,201091707.77,
INTUITIVE RESEARCH AND TECHNOLOGY,INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION,M227DFMCJY67,47f4f1d7-8101-2ec0-c3e8-3841ec247ed6-C,034964945,199818342.76,
GE PRECISION HEALTHCARE,GE PRECISION HEALTHCARE LLC,JJURYE5M19G1,df31c503-bd81-c7e7-3f7a-659eb76e1b08-C,,198134455.14,
